id;Title;Principal Aim;Principal Aim 2;Proposes a model or method?;Author (citation APA);Country of the data;Publication Year;Journal Name;Type of Journal;N;Type of participant;Age;Sport;Sport_1;Gender;Category participants;Name of source data;Category classification;Type of model;Type of survival model/analysis;Details of the analysis;Kaplan-Meier;Cox;Logistic regression or rates;Log-rank;Tarone_test;Prentice_wilcoxon;Harrington–Fleming;Cox Random effects;MSM;GLM pseudo-obs;Random survival forest;Prametric model;Fine-Gray model;Aalen-Johansen;Competing-risks;Bayesian multilevel logistic regression;Any method;Type of paradigm;Statistical software;Macro/package;Data sharing;Code sharing;Purpose of the analysis;Identify dates or events;Circumstances data censored;Statistical methods rates;Assumptions of survival analysis;Give the estimated survival probability;Nº participants en risk;Plot cumulative ;Reporting median survival times;Results in a graph or table;Statistical methods compare curves;Report the P value;Regression model;Measure of risk;Additional information;Censoring type;Truncament;Random effects;Time dependent
1;150 minutes of vigorous physical activity per week predicts survival and successful ageing: a population-based 11-year longitudinal study of 12 201 older Australian men;To determine whether physical activity is associated with healthy ageing in later life;.;N;Almeida, O. P., Khan, K. M., Hankey, G. J., Yeap, B. B., Golledge, J., & Flicker, L. (2014).;Australia;2014;BRITISH JOURNAL OF SPORTS MEDICINE;Sports Medicine;12201;Cases;[65-83];PA;.;Male;Amateur;Not reported;Health;Y;Cox Regression;Cox regression and general linear models;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;No;Yes;Yes;No;Yes;Yes;;Derecha;No;No;No
2;A 20-Year Follow-up After First-Generation Autologous Chondrocyte Implantation;To evaluate clinical outcomes after first-generation ACI for the treatment of knees with disabling, large single and multiple cartilage defects for which patients wished to avoid prosthetic arthroplasty, with a minimum of 20 years' follow-up;.;N;Ogura, T., Mosier, B. A., Bryant, T., & Minas, T. (2017).;USA;2017;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;23;Cases;[13-52];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;No;;Derecha;No;No;No
3;A Prospective Analysis of the Contralateral Hip Among Patients With Femoroacetabular Impingement: What Are the Risk Factors for Disease Progression?;To determine rates of initial and subsequent symptom development in the contralateral hip of patients with symptomatic FAI;Identify predictors of the development of symptomatic contralateral FAI;N;Louer, C. R., Pashos, G., Clohisy, J. C., & Nepple, J. J. (2018).;USA;2018;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;148;Cases;30.9;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;Kaplan-Meier Survival analysis and univariate analysis;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;Yes;Yes;No;Partial;No;No;No;Yes;NA;No;No;No;;Derecha;No;No;No
4;Adherence to physical activity in an unsupervised setting: Explanatory variables for high attrition rates among fitness center members;To evaluate the attrition rate of members of a fitness center in the city of Rio de Janeiro and the potential explanatory variables for the phenomenon;.;N;Sperandei, S., Vieira, M. C., & Reis, A. C. (2016).;Brazil;2016;JOURNAL OF SCIENCE AND MEDICINE IN SPORT;Sports Medicine;5240;Cases;31.1;PA;.;Both;Amateur;Not reported;Health;Y;Cox Regression;.;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
5;Adolescents and female patients are at increased risk for contralateral anterior cruciate ligament reconstruction: a cohort study from the Swedish National Knee Ligament Register based on 17,682 patients;To investigate the impact of different surgical techniques in index ACL reconstruction for patients undergoing contralateral ACL reconstruction.;.;N;Snaebjörnsson, T., Hamrin Senorski, E., Sundemo, D., Svantesson, E., Westin, O., Musahl, V., Alentorn-Geli, E., & Samuelsson, K. (2017).;Sweden;2017;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;17682;Cases;[13-49];Not sport;.;Both;Not sport;Swedish National Knee Ligament Register;Health;Y;Kaplan-Meier;Kaplan-Meier estimation and Cox Regression;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
6;Age alone does not affect the joint survivorship after arthroscopic partial meniscectomy for degenerative medial meniscus tears: a propensity-score matched survival analysis;To evaluate the effect of age itself on the joint survivorship after arthroscopic partial meniscectomy (APM) for degenerative medial meniscus tears (DMTs);.;N;Song, J. H., Bin, S. I., Kim, J. M., Lee, B. S., Park, J. G., & Lee, S. M. (2023).;Korea;2023;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;633;Cases;[41-77];Not sport;.;Both;Not sport;Not reported;Health;N;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;R;No;No;No;Yes;Yes;Yes;Yes;No;Partial;No;No;No;Yes;Yes;Yes;NA;No;;Derecha;No;No;No
7;Age, rehabilitation and surgery characteristics are re-injury risk factors for adolescents following anterior cruciate ligament reconstruction;To examine the effect of age on post-ACLR rehabilitative outcomes;Identify surgical/rehabilitative characteristics as ACL re-injury risk factors in adolescents;N;Law, M. A., Ko, Y. A., Miller, A. L., Lauterbach, K. N., Hendley, C. L., Johnson, J. E., & Tsai, L. C. (2021).;USA;2021;PHYSICAL THERAPY IN SPORT;Sports Medicine;273;Adolescents;[10-19];Football, Basketball, American football, Softball, Baseball, Lacrosse, Volleyball, Gymnastics, Dance, Rugby and Fighting;Basketball;Both;Amateur;Children’s Healthcare of Atlanta;Health;Y;Cox Regression;Cox Regression and multivariate regression;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SAS and R;No;No;No;Yes;Yes;No;Yes;Yes;Partial;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
8;All-cause and disease-specific mortality among male, former elite athletes: an average 50-year follow-up;To investigate life expectancy and mortality among former elite athletes and controls;.;N;Kettunen, J. A., Kujala, U. M., Kaprio, J., Bäckmand, H., Peltonen, M., Eriksson, J. G., & Sarna, S. (2015).;Finland;2015;BRITISH JOURNAL OF SPORTS MEDICINE;Sports Medicine;4020;Former elite athletes;>=20;Power sports, Endurance sports and Team sports;Endurance;Male;Professional;National death registry of Finland;Health;Y;Cox proportional hazards models;.;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS and STATA;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;;Derecha;No;No;No
9;An In-Depth Analysis of Graft Rupture and Contralateral Anterior Cruciate Ligament Rupture Rates After Pediatric Anterior Cruciate Ligament Reconstruction;To calculate rates of graft rupture and contralateral ACL rupture after ACLR in a large pediatric series.;.;N;DeFrancesco, C. J., Striano, B. M., Bram, J. T., Baldwin, K. D., & Ganley, T. J. (2020).;USA;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;996;Pediatric patients;15.1;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA and Excel;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;No;No;;Derecha;No;No;No
10;Articular cartilage paste graft for severe osteochondral lesions of the knee: a 10- to 23-year follow-up study;To evaluate the clinical outcomes of the articular cartilage paste graft procedure at a minimum of 10 years from surgery;.;N;Stone, K. R., Pelsis, J. R., Na, K., Walgenbach, A. W., & Turek, T. J. (2017).;USA;2017;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;74;Cases;[13-69];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;Yes;;Derecha;No;No;No
